"Contract Line Item Number (CLIN) (RFP ID)",UNSPSC Code,Manufacturer Part Number (OEM #),"Manufacturer
(OEM)",SKU # / Item #,Item Description,UOM,"Qty in
UOM",List Price/MSRP,"Contract Unit
Price","Contract
Discount","Segment ID /Product Category/Group
ID"
3010,432001404,UE343E,HP,UE343E,HP 4y Nbd Onsite/DMR Workstation Service,each,1,91.00,72.80,20%,"Service Options Upgrades Workstation
Desktop"
3011,432001404,UE344E,HP,UE344E,HP 5y Nbd Onsite/DMR Workstation Service,each,1,166.00,132.80,20%,"Service Options Upgrades Workstation
Desktop"
3400,432001404,U4847E,HP,U4847E,HP 3y NextBusDay Exchange TC Only SVC,each,1,69.00,55.20,20%,"Service Options Upgrades Thin Client
Desktop"
3401,432001404,U7927E,HP,U7927E,HP 4y NextBusDayExch ThinClient Only SVC,each,1,120.00,96.00,20%,"Service Options Upgrades Thin Client
Desktop"
3402,432001404,U7929E,HP,U7929E,HP 5y NextBusDayExch ThinClient Only SVC,each,1,172.00,137.60,20%,"Service Options Upgrades Thin Client
Desktop"
3500,432001404,U0J10E,HP,U0J10E,HP 4y Nbd Adv Exchange Standard Monitor Service,each,1,31.00,24.80,20%,Service Options Upgrades Monitors
3501,432001404,U0J11E,HP,U0J11E,HP 5y Nbd Adv Exchange Standard Monitor Service,each,1,67.00,53.60,20%,Service Options Upgrades Monitors
3502,432001404,U0J12E,HP,U0J12E,HP 4y Nbd Adv Exchange Large Monitor Service,each,1,41.00,32.80,20%,Service Options Upgrades Monitors
3503,432001404,U0J13E,HP,U0J13E,HP 5y Nbd Adv Exchange Large Monitor Service,each,1,70.00,56.00,20%,Service Options Upgrades Monitors
4000,81110000,999-5023,NWN,999-5023,Basic Installation,each,1,43.00,35.69,17%,VAS  Installation
4001,81110000,999-2001,NWN,999-2001,Basic Asset Tagging,each,1,11.00,9.13,17%,"VAS Asset Tagging - Bidder
administration of State provided tag
(with number)"
4002,81110000,999-0003,NWN,999-0003,Basic Imaging,each,1,26.00,21.58,17%,VAS Imaging
4003,81110000,999-0024,NWN,999-0024,Basic Disposition/Disposal Services,each,1,11.00,9.13,17%,VAS Take-Back Services
Non-Core *,81110000,999-5033,NWN,999-5033,Basic Deployment & Logistics,each,1,49.00,40.67,17%,"NON-Core VAS - D
Deployment & Logistics"
4005,81110000,999-5201,NWN,999-5201,Basic Emergency Services,each,1,79.00,65.57,17%,"VAS Emergency Services (4 hour
response, per occurrence)"
